response-time,status-code,test_name,runtime,batch
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0363,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0371,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.0363,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0388,200,rust-spin-fuzzysearch-http,spin,nomad
0.037,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.0363,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0364,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0348,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0348,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0348,200,rust-spin-fuzzysearch-http,spin,nomad
0.0347,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0348,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0347,200,rust-spin-fuzzysearch-http,spin,nomad
0.0348,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0367,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0364,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0365,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.037,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0347,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0347,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0363,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0364,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0348,200,rust-spin-fuzzysearch-http,spin,nomad
0.0348,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0345,200,rust-spin-fuzzysearch-http,spin,nomad
0.0348,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0394,200,rust-spin-fuzzysearch-http,spin,nomad
0.0365,200,rust-spin-fuzzysearch-http,spin,nomad
0.0368,200,rust-spin-fuzzysearch-http,spin,nomad
0.0366,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0347,200,rust-spin-fuzzysearch-http,spin,nomad
0.0374,200,rust-spin-fuzzysearch-http,spin,nomad
0.0374,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0364,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.0366,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0363,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0375,200,rust-spin-fuzzysearch-http,spin,nomad
0.0366,200,rust-spin-fuzzysearch-http,spin,nomad
0.0376,200,rust-spin-fuzzysearch-http,spin,nomad
0.0364,200,rust-spin-fuzzysearch-http,spin,nomad
0.0366,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0364,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.04,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0398,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0366,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0571,200,rust-spin-fuzzysearch-http,spin,nomad
0.0436,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.037,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0374,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0364,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0366,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.0393,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0378,200,rust-spin-fuzzysearch-http,spin,nomad
0.0369,200,rust-spin-fuzzysearch-http,spin,nomad
0.0406,200,rust-spin-fuzzysearch-http,spin,nomad
0.0366,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0363,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0372,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0368,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0366,200,rust-spin-fuzzysearch-http,spin,nomad
0.0371,200,rust-spin-fuzzysearch-http,spin,nomad
0.0363,200,rust-spin-fuzzysearch-http,spin,nomad
0.0364,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0363,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0382,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0347,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0364,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0369,200,rust-spin-fuzzysearch-http,spin,nomad
0.037,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0366,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0363,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.0363,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0368,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0363,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0359,200,rust-spin-fuzzysearch-http,spin,nomad
0.0363,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0364,200,rust-spin-fuzzysearch-http,spin,nomad
0.0365,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0353,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0357,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0356,200,rust-spin-fuzzysearch-http,spin,nomad
0.0352,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0362,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.0373,200,rust-spin-fuzzysearch-http,spin,nomad
0.0361,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.037,200,rust-spin-fuzzysearch-http,spin,nomad
0.0367,200,rust-spin-fuzzysearch-http,spin,nomad
0.045,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0349,200,rust-spin-fuzzysearch-http,spin,nomad
0.0351,200,rust-spin-fuzzysearch-http,spin,nomad
0.0358,200,rust-spin-fuzzysearch-http,spin,nomad
0.035,200,rust-spin-fuzzysearch-http,spin,nomad
0.0355,200,rust-spin-fuzzysearch-http,spin,nomad
0.0354,200,rust-spin-fuzzysearch-http,spin,nomad
0.0368,200,rust-spin-fuzzysearch-http,spin,nomad
0.0366,200,rust-spin-fuzzysearch-http,spin,nomad
0.036,200,rust-spin-fuzzysearch-http,spin,nomad
0.0364,200,rust-spin-fuzzysearch-http,spin,nomad
